"Eid","Ename","Experience","Total_projects","Rating","Area_of_Interest_1","Area_of_Interest_2","Area_of_Interest_3","Language1","Language2","Language3","AI_project_count","ML_project_count","JS_project_count","Java_project_count","DotNet_project_count","Mobile_project_count","Designation","Python","Machine Learning","Deep Learning","Data Analysis","Asp.Net","Ado.Net","VB.Net","C#","Java","Spring Boot","Hibernate","NLP","CV","JS","React","Node","Angular","Dart","Flutter","Vb.Net"
1,"Dana Bond",2,2,1,"DotNet","JS","AI","English","Hindi","Tamil",0,1,1,0,0,0,"Programmer-3",1,1,1,1,1,1,0,1,1,0,0,1,1,3,3,3,3,0,0,1
2,"Jesus Hampton",9,13,1.4,"DotNet","AI","JS","English","Hindi","Malayalam",4,3,0,2,3,1,"Team Lead",1,1,1,1,4,4,0,4,1,1,1,3,3,1,1,1,1,1,1,4
3,"Teresa Munoz",15,16,1.1,"Machine Learning","JS","Java","English","Kannada","Chinese",3,3,1,3,5,1,"Team Lead",4,4,4,4,1,1,0,1,2,2,2,1,1,3,3,3,3,1,1,1
4,"Annette Dipietro",18,19,1.1,"DotNet","Machine Learning","Mobile","English","Chinese","Tamil",4,4,2,3,3,3,"Team Lead",3,3,3,3,4,4,0,4,1,1,1,1,1,1,1,1,1,2,2,4
5,"Jennifer Fortner",22,15,0.7,"Mobile","Java","JS","English","Chinese","Telugu",3,4,3,1,1,3,"Deployment-2",1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,4,4,1
6,"Mary Todd",7,13,1.9,"AI","Java","Machine Learning","English","Chinese","Hindi",2,5,1,1,1,3,"Programmer-1",2,2,2,2,1,1,0,1,3,3,3,4,4,1,1,1,1,1,1,1
7,"Nicolas Fulcher",2,2,1,"AI","Mobile","DotNet","English","Hindi","Telugu",1,0,1,0,0,0,"Programmer-3",1,0,0,0,1,1,0,1,1,0,0,4,4,1,1,1,1,1,1,1
8,"Bernice Bousquet",3,4,1.3,"DotNet","Mobile","Java","English","Malayalam","Hindi",1,0,1,1,1,0,"Programmer-2",1,0,0,0,4,4,0,4,2,2,2,1,1,1,1,1,1,1,1,4
9,"William Berger",2,5,2.5,"JS","DotNet","AI","English","Tamil","Malayalam",1,2,1,1,0,0,"Programmer-2",1,1,1,1,1,1,0,1,1,1,1,2,2,4,4,4,4,0,0,1
10,"Kennith Hamilton",3,8,2.7,"Mobile","Machine Learning","JS","English","Kannada","Telugu",0,2,3,3,0,0,"Programmer-2",3,3,3,3,0,0,0,1,1,1,1,0,0,2,2,2,2,1,1,0
11,"Shannon Berryhill",7,17,2.4,"JS","Machine Learning","Mobile","English","Japenese","Tamil",2,3,4,7,0,1,"Programmer-1",3,3,3,3,0,0,0,1,1,1,1,1,1,4,4,4,4,2,2,0
12,"Rachel Morse",3,6,2,"DotNet","Java","JS","English","Telugu","Chinese",2,1,0,1,0,2,"Programmer-2",1,1,1,1,1,1,0,1,3,3,3,1,1,1,1,1,1,1,1,1
13,"Robert Wilson",11,8,0.7,"Java","Mobile","JS","English","Telugu","Kannada",2,1,1,4,0,0,"Programmer-3",1,1,1,1,0,0,0,1,4,4,4,1,1,2,2,2,2,1,1,0
14,"Shirley Mcmahon",8,6,0.8,"Java","JS","Machine Learning","English","Malayalam","Hindi",1,0,4,0,0,1,"Programmer-3",1,1,1,1,0,0,0,1,1,1,1,1,1,3,3,3,3,1,1,0
15,"Jeffery Parikh",6,8,1.3,"DotNet","Java","Mobile","English","Telugu","Hindi",2,1,3,1,0,1,"Programmer-2",1,1,1,1,1,1,0,1,3,3,3,1,1,1,1,1,1,2,2,1
16,"Shannon Campo",18,26,1.4,"JS","Machine Learning","Java","English","Tamil","Malayalam",2,7,5,5,2,5,"Team Lead",3,3,3,3,1,1,0,1,2,2,2,1,1,4,4,4,4,1,1,1
17,"Charles Vine",15,6,0.4,"AI","Mobile","Machine Learning","English","Malayalam","Telugu",2,1,2,1,0,0,"Testing and Debugging",2,2,2,2,0,0,0,1,1,1,1,4,4,1,1,1,1,1,1,0
18,"John Peters",16,19,1.2,"DotNet","JS","Mobile","English","Malayalam","Japenese",6,1,3,3,2,4,"Team Lead",1,1,1,1,4,4,0,4,1,1,1,1,1,3,3,3,3,2,2,4
19,"Lawrence Litzenberg",21,21,1,"Java","Machine Learning","JS","English","Chinese","Hindi",2,3,6,5,4,1,"Deployment-1",3,3,3,3,1,1,0,1,4,4,4,1,1,2,2,2,2,1,1,1
20,"Michael Harpole",22,23,1,"AI","Mobile","DotNet","English","Kannada","Malayalam",3,1,8,5,5,1,"Team Lead",1,1,1,1,2,2,0,2,1,1,1,4,4,1,1,1,1,3,3,2
21,"Jeanne Tovar",24,27,1.1,"Machine Learning","Mobile","DotNet","English","Kannada","Chinese",9,5,2,3,1,7,"Team Lead",4,4,4,4,2,2,0,2,1,1,1,1,1,1,1,1,1,3,3,2
22,"Patricia Shepherd",3,5,1.7,"Java","JS","Machine Learning","English","Telugu","Hindi",1,0,1,2,0,1,"Programmer-2",1,1,1,1,0,0,0,1,4,4,4,1,1,3,3,3,3,1,1,0
23,"John Pina",6,19,3.2,"Machine Learning","Java","DotNet","English","Telugu","Kannada",2,3,3,1,4,6,"Programmer-1",4,4,4,4,2,2,0,2,3,3,3,1,1,1,1,1,1,1,1,2
24,"Alan Denny",15,13,0.9,"Mobile","JS","Java","English","Japenese","Hindi",3,4,0,3,2,1,"Deployment-1",1,1,1,1,1,1,0,1,2,2,2,1,1,1,1,1,1,4,4,1
25,"Rogelio Singletary",19,26,1.4,"Machine Learning","DotNet","AI","English","Malayalam","Tamil",2,8,7,4,2,3,"Team Lead",4,4,4,4,3,3,0,3,1,1,1,2,2,1,1,1,1,1,1,3
